id,title,difficulty,totalNotes,sub_constant_1,main_constant,sub_constant_2,stamina,handspeed,burst,complex,rhythm
318,虹色·梦色·太鼓色,edit,556,6.25 ,7.27 ,6.94 ,3.35 ,1.20 ,8.01 ,10.16 ,6.99 
318,虹色·梦色·太鼓色,oni,390,0.73 ,3.08 ,5.18 ,1.25 ,0.02 ,0.02 ,0.00 ,6.12 
319,オリオンをなぞる,oni,466,4.14 ,4.21 ,2.86 ,4.59 ,5.34 ,7.62 ,1.15 ,0.58 
321,OUBU ROUKOU,oni,639,5.77 ,6.34 ,7.36 ,4.15 ,0.49 ,0.79 ,9.00 ,8.12 
322,MIINA NO OYASHIKI,oni,607,4.58 ,4.60 ,3.45 ,4.69 ,4.81 ,7.08 ,4.12 ,2.34 
323,Phoenix,oni,555,3.39 ,3.36 ,2.01 ,5.37 ,2.27 ,4.70 ,0.00 ,0.21 
324,Phantom Rider,edit,765,8.83 ,9.92 ,11.36 ,6.17 ,9.06 ,12.63 ,10.54 ,11.88 
324,Phantom Rider,oni,697,4.09 ,5.50 ,7.54 ,3.71 ,0.22 ,0.02 ,5.97 ,8.64 
331,シン?ゾンビ,oni,794,9.98 ,9.67 ,12.02 ,11.25 ,11.21 ,15.22 ,6.56 ,2.94 
332,PON PON PON,oni,407,1.03 ,1.39 ,1.91 ,1.73 ,0.03 ,0.00 ,0.39 ,2.18 
333,崖上的波妞,oni,225,0.00 ,0.26 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.40 
335,Purple Rose Fusion,oni,876,12.28 ,11.21 ,10.76 ,12.95 ,10.65 ,11.59 ,12.87 ,5.98 
336,Infinite Rebellion,oni,1304,15.33 ,15.47 ,15.40 ,15.50 ,15.47 ,14.50 ,14.74 ,12.55 
337,PURU PURU Simple,oni,652,5.34 ,8.20 ,10.52 ,6.13 ,2.33 ,7.50 ,6.43 ,11.87 
338,北埼玉2000,oni,802,11.99 ,10.98 ,10.81 ,11.81 ,11.41 ,9.95 ,12.50 ,10.05 
339,"Jump Up, Super Star! Short Version",oni,410,0.86 ,4.16 ,7.02 ,1.28 ,0.01 ,0.02 ,0.76 ,8.30 
340,決戦！！,oni,538,5.33 ,4.59 ,2.58 ,4.80 ,3.59 ,1.43 ,6.96 ,0.84 
341,Walking Through The Towers,oni,481,2.61 ,2.27 ,1.37 ,4.48 ,0.36 ,0.60 ,0.00 ,0.76 
342,OMOI WO TENI NEGAI WO KOMETE,oni,581,3.79 ,3.89 ,2.98 ,4.83 ,1.89 ,7.50 ,3.95 ,1.56 
343,URBAN FRAGMENTS,oni,375,5.37 ,5.80 ,6.59 ,1.33 ,0.99 ,0.14 ,9.09 ,7.23 
344,RAINMAKER,oni,589,3.43 ,3.38 ,1.92 ,5.11 ,2.23 ,4.00 ,1.95 ,0.31 
345,拉面 德 呦-面!!,oni,487,1.08 ,1.50 ,2.09 ,1.11 ,0.02 ,0.00 ,1.50 ,2.40 
346,Red Rose Evangel,oni,765,6.36 ,6.26 ,3.90 ,7.42 ,6.34 ,7.03 ,4.97 ,2.08 
347,Reviver,oni,765,3.75 ,3.81 ,3.62 ,5.60 ,1.30 ,2.37 ,2.95 ,3.69 
348,Lightning Passion,edit,765,6.67 ,7.23 ,7.71 ,7.02 ,1.86 ,4.23 ,8.90 ,8.26 
348,Lightning Passion,oni,577,2.59 ,2.69 ,2.03 ,3.08 ,0.68 ,4.23 ,3.15 ,1.40 
349,汪喵世界,oni,765,5.97 ,5.87 ,3.57 ,7.01 ,6.07 ,6.57 ,4.43 ,1.72 
350,Saika,oni,593,4.43 ,3.84 ,2.42 ,3.12 ,0.40 ,0.00 ,6.94 ,1.55 
351,EDY -Electrical Dancing Yoga-,oni,765,9.21 ,9.61 ,9.52 ,6.66 ,9.39 ,8.55 ,10.90 ,10.46 
352,Robot Rock ’n’ Roll ☆,oni,500,1.79 ,2.08 ,1.94 ,3.07 ,0.31 ,6.57 ,0.00 ,0.15 
353,ロックン?ハート！,oni,384,1.19 ,1.66 ,1.90 ,2.02 ,0.32 ,6.80 ,0.00 ,0.16 
354,埼玉2000,oni,570,5.11 ,5.17 ,5.88 ,5.23 ,3.85 ,8.67 ,5.93 ,2.56 
355,又埼玉2000,oni,835,11.52 ,11.15 ,11.27 ,10.33 ,11.94 ,11.00 ,12.02 ,9.60 
356,快埼玉2000,oni,570,11.25 ,10.82 ,11.11 ,9.20 ,10.55 ,11.58 ,13.38 ,10.73 
